line_name,description,total_boarding,tm2_mode,line_mode,headway,fare_system,vehicle_mode
15__190_PM_d1_s475,BART Concord/North Concord,44.542850494384766,42,m,38.03,15,m
15__191_PM_d0_s476,AMTRAK/BART Pleasant Hill,30.976857542991638,42,m,63.39,15,m
15__191_PM_d1_s477,AMTRAK/BART Pleasant Hill,8.869965143501759,42,m,63.39,15,m
15__192_PM_d0_s478,AMTRAK/BART Concord,1.821508526802063,42,m,95.09,15,m
15__192_PM_d1_s479,AMTRAK/BART Concord,0.39389491081237793,42,m,95.09,15,m
17_alliance_705_PM_d0_s2146,So. San Francisco-Centennial Towers BART/Caltrain,0,14,m,31.7,46,m
17_alliance_706_PM_d1_s2148,So. San Francisco-Oyster Pt BART,40.400001525878906,14,m,26.94,46,m
17_alliance_707_PM_d1_s2152,So. San Francisco-Oyster Pt Caltrain,0,14,m,31.7,46,m
17_alliance_708_PM_d1_s2151,So. San Francisco-Oyster Point Ferry,0,14,m,63.39,46,m
17_alliance_709_PM_d0_s2154,So. San Francisco-Utah/Grand BART,55.8986234664917,14,m,26.94,46,m
17_alliance_710_PM_d1_s2155,So. San Francisco-Utah/Grand Caltrain,0,14,m,31.7,46,m
17_alliance_711_PM_d1_s2156,So. San Francisco-Utah/Grand Ferry,0,14,m,63.39,46,m
17_alliance_712_PM_d1_s2133,Brisbane-Bayshore Caltrain,8.990520477294922,14,m,63.39,46,m
17_alliance_713_PM_d0_s2129,Bayshore Technology Park,5.279069900512695,14,m,31.7,46,m
17_alliance_714_PM_d1_s2125,Burlingame-North BART/Caltrain,6.9130449295043945,14,m,23.77,46,m
17_alliance_715_PM_d1_s2135,Burlingame-Bayside BART/Caltrain,0,14,m,31.7,46,m
17_alliance_716_PM_d1_s2131,Brisbane-Crocker Park BART/Caltrain,14.806089401245117,14,m,19.02,46,m
17_alliance_717_PM_d1_s2137,Foster City-North BART/Caltrain,396.1683044433594,14,m,26.94,46,m
17_alliance_718_PM_d0_s2126,Foster City-Lincoln Centre Caltrain,319.86474990844727,14,m,31.7,46,m
17_alliance_719_PM_d0_s2142,Redwood City-Midpoint Caltrain,0,14,m,31.7,46,m
17_alliance_720_PM_d0_s2143,Redwood City-Seaport Centre Caltrain,0,14,m,26.94,46,m
17_alliance_721_PM_d1_s2145,San Mateo-Campus Drive Caltrain,11.319192886352539,14,m,38.03,46,m
17_alliance_722_PM_d1_s2128,San Mateo-Mariners' Island Caltrain,0,14,m,38.03,46,m
17_alliance_723_PM_d1_s2138,San Mateo-Norfolk Caltrain,292.6878113746643,14,m,31.7,46,m
17_caltrain-ca-us_193_PM_d0_s484,Bullet,952.4193878173828,130,h,38.03,3,h
17_caltrain-ca-us_193_PM_d1_s482,Bullet,2908.216344833374,130,h,31.7,3,h
17_caltrain-ca-us_194_PM_d0_s485,Limited,3632.7824687957764,130,h,19.02,3,h
17_caltrain-ca-us_194_PM_d1_s482,Limited,5817.186492919922,130,h,19.02,3,h
17_caltrain-ca-us_195_PM_d0_s484,Local,515.6353178583086,130,h,95.09,3,h
17_caltrain-ca-us_195_PM_d1_s481,Local,467.6425142288208,130,h,190.17,3,h
19_175_495_PM_d0_s1508,Russian River Area_ Forestville_ Sebastopol_ Santa,0,63,m,63.39,7,m
19_175_495_PM_d1_s1499,Russian River Area_ Forestville_ Sebastopol_ Santa,32.258291721343994,63,m,63.39,7,m
19_175_496_PM_d0_s1511,Sebastopol_ Santa Rosa,3.2033333778381348,63,m,63.39,7,m
19_175_496_PM_d1_s1534,Sebastopol_ Santa Rosa,18.08414649963379,63,m,95.09,7,m
19_175_497_PM_d0_s1529,Sebastopol_ Rohnert Park_ Cotati,0,63,m,63.39,7,m
19_175_497_PM_d1_s1500,Sebastopol_ Rohnert Park_ Cotati,0,63,m,95.09,7,m
19_175_498_PM_d0_s1461,Santa Rosa_ Sonoma Valley,4.784457862377167,63,m,63.39,7,m
19_175_498_PM_d1_s1501,Santa Rosa_ Sonoma Valley,8.152836799621582,63,m,63.39,7,m
19_175_499_PM_d0_s1560,Sonoma Valley_ San Rafael,0,63,m,190.17,7,m
19_175_500_PM_d0_s1514,Sonoma_ Petaluma,0,63,m,63.39,7,m
19_175_500_PM_d1_s1547,Sonoma_ Petaluma,0,63,m,63.39,7,m
19_175_501_PM_d0_s1554,Santa Rosa_ Industry West Business Park,0,63,m,95.09,7,m
19_175_501_PM_d1_s1543,Santa Rosa_ Industry West Business Park,0,63,m,95.09,7,m
19_175_502_PM_d0_s1502,Petaluma JC_ SSU_ Santa Rosa,26.0387454777956,63,m,47.54,7,m
19_175_502_PM_d1_s1517,Petaluma JC_ SSU_ Santa Rosa,30.529691696166992,63,m,63.39,7,m
19_175_503_PM_d0_s1466,Santa Rosa_ Sonoma State University,0,63,m,190.17,7,m
19_175_503_PM_d1_s1557,Santa Rosa_ Sonoma State University,0,63,m,190.17,7,m
19_175_504_PM_d0_s1506,Petaluma_ Rohnert Park_ Cotati_ Santa Rosa,4.777992427349091,63,m,63.39,7,m
19_175_504_PM_d1_s1509,Petaluma_ Rohnert Park_ Cotati_ Santa Rosa,11.527644753456116,63,m,63.39,7,m
19_175_505_PM_d0_s1458,Cloverdale_ Healdsburg_ Windsor_ Santa Rosa,12.772434949874878,63,m,38.03,7,m
19_175_505_PM_d1_s1478,Cloverdale_ Healdsburg_ Windsor_ Santa Rosa,69.1056547164917,63,m,63.39,7,m
19_175_506_PM_d0_s1530,Santa Rosa_ County Airport_ Windsor,5.108167946338654,63,m,95.09,7,m
19_175_506_PM_d1_s1524,Santa Rosa_ County Airport_ Windsor,0.2532552480697632,63,m,95.09,7,m
19_175_507_PM_d0_s1512,Cotati_ Rohnert Park_ Sonoma State University,6.365465879440308,63,m,63.39,7,m
19_175_508_PM_d0_s1510,Northern Rohnert Park,0,63,m,190.17,7,m
19_175_509_PM_d0_s1525,Northern Rohnert Park,0,63,m,95.09,7,m
19_175_510_PM_d0_s1571,Sebastopol Shuttle,0,63,m,190.17,7,m
19_175_511_PM_d0_s1465,Guerneville_ Monte Rio,0,63,m,190.17,7,m
19_175_512_PM_d0_s1541,Sonoma Valley,0,63,m,95.09,7,m
19_175_512_PM_d1_s1531,Sonoma Valley,0,63,m,95.09,7,m
19_175_513_PM_d0_s1459,Windsor Shuttle,0,63,m,95.09,7,m
19_175_515_PM_d0_s1573,Cotati_ Rohnert Park Schools,0,63,m,190.17,7,m
19_175_518_PM_d1_s1507,Russian River Area_ Forestville_ Sebastopol_ Santa,2.067819058895111,63,m,190.17,7,m
19_175_519_PM_d1_s1570,Santa Rosa_ Sonoma,2.7176125049591064,63,m,190.17,7,m
19_175_520_PM_d0_s1522,Santa Rosa_ Glen Ellen_ Sonoma,1.5948193222284317,63,m,190.17,7,m
19_175_521_PM_d1_s1564,Santa Rosa_ Rohnert Park_ Petaluma,2.149873659014702,63,m,190.17,7,m
