station,district,route,direction,type,latitude,longitude,distlink,pemsonlink,shstReferenceId,A,B,model_link_id,A_B
407190,4,680,S,ML,37.412704,-121.880023,1.72932499534754e-06,1,4d12426b371a65a36d899d90d92ff12a,2051695,2054123,2082536,2051695_2054123
407194,4,680,S,ML,37.344191,-121.845564,1.2713440814049e-05,1,e34f7f6085c5f58023ca3bb6eed02bc7,2087416,2071175,2242577,2087416_2071175
407195,4,680,S,FR,37.344296,-121.845433,0.0158217317727876,3,e34f7f6085c5f58023ca3bb6eed02bc7,2087416,2071175,2242577,2087416_2071175
407196,4,680,S,ML,37.35456,-121.838284,4.94599104719623e-05,1,f74f164907a20c2ad132a99c6e39cb84,2168809,2164568,2264020,2168809_2164568
407197,4,680,S,ML,37.355237,-121.838607,1.31414644887713e-05,1,996e8ebca48e2afdd4eb916b3f1506b3,2068768,2168809,2164028,2068768_2168809
407198,4,680,S,FR,37.358518,-121.840538,0.0012993433457052,3,996e8ebca48e2afdd4eb916b3f1506b3,2068768,2168809,2164028,2068768_2168809
407199,4,680,S,FR,37.401028,-121.876406,0.0011744817795963,1,2d7da0d1a8c5b46a100702f5d0d7fda7,2046051,2165131,2048669,2046051_2165131
407200,4,680,S,ML,37.398207,-121.875543,5.1355773448806e-05,1,2d7da0d1a8c5b46a100702f5d0d7fda7,2046051,2165131,2048669,2046051_2165131
407202,4,680,S,ML,37.360613,-121.841794,2.62215379622093e-05,1,996e8ebca48e2afdd4eb916b3f1506b3,2068768,2168809,2164028,2068768_2168809
407203,4,680,S,FR,37.360613,-121.841794,0.0003232672462456,3,996e8ebca48e2afdd4eb916b3f1506b3,2068768,2168809,2164028,2068768_2168809
407204,4,680,S,ML,37.366097,-121.845103,4.22911137215924e-05,1,ce83b3aba270529cf25f75447fa22b66,2154544,2114276,2220454,2154544_2114276
407205,4,680,S,FR,37.368698,-121.847065,0.0018252230900652,1,ce83b3aba270529cf25f75447fa22b66,2154544,2114276,2220454,2154544_2114276
407206,4,680,S,ML,37.372897,-121.851246,2.07671385356191e-05,1,e2fb6041de72083e2b30af85ee30608c,2162244,2154544,2242243,2162244_2154544
407219,4,880,N,ML,37.477872,-121.93334,3.17567942102728e-05,2,214b3f271ad07c216436eb88104720ee,2521404,2507565,3022060,2521404_2507565
407221,4,880,S,ML,37.477791,-121.933545,2.29712247269369e-05,2,fe45b194eb8e38b3d3b62fffd6462a18,2608455,2563041,3168757,2608455_2563041
407242,4,80,E,FR,37.943467,-122.323784,0.0012547220485811,1,b366bebe886087f17d5e43a5d83edb4d,3003237,3011756,4089092,3003237_3011756
407243,4,80,E,FR,38.052365,-122.2278,0.0001793163085214,1,73a52ffdee1fc50afddf48421051f33b,3017762,3074206,4057558,3017762_3074206
407245,4,80,E,FR,37.909564,-122.31655,0.0007768014125336,1,b45936cc1a7339732450074ae6096e92,3043503,3070652,4089555,3043503_3070652
407246,4,80,E,OR,37.912502,-122.317364,0.0002276812011136,1,b45936cc1a7339732450074ae6096e92,3043503,3070652,4089555,3043503_3070652
407247,4,80,E,OR,37.937479,-122.325945,0.0005287367291961,1,3946aed5adac87ffb7f6c4a4c2a696f9,3021221,3075158,4028400,3021221_3075158
407248,4,80,E,OR,37.924801,-122.320238,0.0008834393523574,1,7fd7f8e275dbfef0fcebf3a3fb0df2ca,3052726,3059602,4063603,3052726_3059602
407251,4,80,E,OR,37.955597,-122.329563,0.0011765476927465,1,6e6ffb07cce3ceb9e67079ba89dcfc7f,3011756,3065660,4054968,3011756_3065660
407252,4,80,E,FR,37.98424,-122.315628,4.51207812065326e-07,1,7c6654c36a4939dce965eef85711586a,3051622,3067399,4061836,3051622_3067399
407254,4,80,E,OR,37.984379,-122.315577,0.002102541365707,1,7c6654c36a4939dce965eef85711586a,3051622,3067399,4061836,3051622_3067399
407255,4,80,E,OR,37.988496,-122.312983,0.0006611109347925,1,b5c33813f1d98789d9bf88ca7e20326a,3067399,3047807,4090209,3067399_3047807
