line_name,description,total_boarding,total_hour_cap,tm2_mode,line_mode,headway,fare_system
30_AC Transit_35_AM_d1_s90,Bayfair BART- Castro Valley- Hayward bart,0,63.0,30,s,60.0,9
30_AC Transit_36_AM_d0_s92,Rockridge Bart / Dwight S.P.,0,126.0,30,s,30.0,9
30_AC Transit_36_AM_d1_s91,Rockridge Bart / Dwight S.P.,0,126.0,30,s,30.0,9
30_AC Transit_37_AM_d0_s94,RockRidge to FBBA,0,378.0,30,s,10.0,9
30_AC Transit_37_AM_d1_s95,RockRidge to FBBA,0,378.0,30,s,10.0,9
30_AC Transit_38_AM_d0_s97,RockRidge - 3RUN,0,378.0,30,s,10.0,9
30_AC Transit_38_AM_d1_s99,RockRidge - 3RUN,0,378.0,30,s,10.0,9
30_AC Transit_39_AM_d0_s101,U.C. Village - U.C. Campus,0,228.57142857142858,30,s,21.0,9
30_AC Transit_39_AM_d1_s103,U.C. Village - U.C. Campus,0,266.6666666666667,30,s,18.0,9
30_AC Transit_3_AM_d0_s7,Piedmont - Fruitvale Ave.,0,126.0,30,s,30.0,9
30_AC Transit_3_AM_d1_s9,Piedmont - Fruitvale Ave.,0,145.3846153846154,30,s,26.0,9
30_AC Transit_40_AM_d0_s104,Fruitvale BART - Merritt College,0,315.0,30,s,12.0,9
30_AC Transit_40_AM_d1_s105,Fruitvale BART - Merritt College,0,290.7692307692308,30,s,13.0,9
30_AC Transit_41_AM_d0_s107,San Pablo Ave to Foothill Sq,0,300.0,30,s,16.0,9
30_AC Transit_41_AM_d1_s106,San Pablo Ave to Foothill Sq,0,320.0,30,s,15.0,9
30_AC Transit_42_AM_d0_s108,Eastmont T.C. - Oakland Amtrak,0,78.75,30,s,48.0,9
30_AC Transit_42_AM_d1_s109,Eastmont T.C. - Oakland Amtrak,0,111.17647058823529,30,s,34.0,9
30_AC Transit_43_AM_d0_s111,CSUEB / HAYWARD BART SHUTTLE,0,266.6666666666667,30,s,18.0,9
30_AC Transit_43_AM_d1_s110,CSUEB / HAYWARD BART SHUTTLE,0,240.0,30,s,20.0,9
30_AC Transit_44_AM_d0_s112,Berkeley - Oakland - H.Royce School,0,31.5,30,s,120.0,9
30_AC Transit_45_AM_d0_s116,Berkeley - Oakland - H.Royce School,0,15.75,30,s,240.0,9
30_AC Transit_46_AM_d0_s119,Berkeley - Oakland - H.Royce School,0,15.75,30,s,240.0,9
30_AC Transit_47_AM_d0_s120,Richmond H.S. - Point Richmond,0,15.75,30,s,240.0,9
30_AC Transit_48_AM_d1_s121,Montera J.H.S. - Skyline High School,0,15.75,30,s,240.0,9
30_AC Transit_49_AM_d0_s123,West  Oakland - Fruitvale Bart,0,222.35294117647058,30,s,17.0,9
30_AC Transit_49_AM_d1_s126,West  Oakland - Fruitvale Bart,0,236.25,30,s,16.0,9
30_AC Transit_4_AM_d0_s11,Dtn. Oakland /Dtn. Berkeley,0,157.5,30,s,24.0,9
30_AC Transit_4_AM_d1_s10,Dtn. Oakland /Dtn. Berkeley,0,157.5,30,s,24.0,9
30_AC Transit_50_AM_d1_s124,Cedar Blvd.,0,15.75,30,s,240.0,9
30_AC Transit_51_AM_d1_s129,Fremont - American H.S.,0,15.75,30,s,240.0,9
30_AC Transit_52_AM_d0_s130,Horner JH - P. Padre Pkwy & Mission,0,31.5,30,s,120.0,9
30_AC Transit_54_AM_d1_s135,Centerville JHS - Niles & El Portal,0,15.75,30,s,240.0,9
30_AC Transit_55_AM_d0_s139,Newark Blvd.,0,15.75,30,s,240.0,9
30_AC Transit_56_AM_d0_s141,Cedar Blvd.,0,15.75,30,s,240.0,9
30_AC Transit_57_AM_d0_s142,Cherry St.,0,31.5,30,s,120.0,9
30_AC Transit_58_AM_d0_s144,Alameda - Encinal High School,0,31.5,30,s,120.0,9
30_AC Transit_59_AM_d0_s149,73rd International Blvd - Skyline High,0,15.75,30,s,240.0,9
30_AC Transit_5_AM_d0_s13,11th Jefferson - Fruitvale Bart,0,236.25,30,s,16.0,9
30_AC Transit_5_AM_d1_s12,11th Jefferson - Fruitvale Bart,0,252.0,30,s,15.0,9
30_AC Transit_60_AM_d0_s150,Fremont High- Frick Middle - 106th Bancroft,0,15.75,30,s,240.0,9
30_AC Transit_61_AM_d0_s152,Montclair/Montera,0,31.5,30,s,120.0,9
30_AC Transit_62_AM_d0_s160,Skyline High - Fruitvale & Montana,0,15.75,30,s,240.0,9
30_AC Transit_63_AM_d1_s162,Montera -Skyline High- Coliseum Bart,0,47.25,30,s,80.0,9
30_AC Transit_64_AM_d0_s166,Fruitvale Bart - Skyline High,0,47.25,30,s,80.0,9
30_AC Transit_65_AM_d1_s171,Skyline High - Grass Valley,0,31.5,30,s,120.0,9
30_AC Transit_66_AM_d0_s181,Spruce St. - Euclid Ave.,0,126.0,30,s,30.0,9
30_AC Transit_66_AM_d1_s182,Spruce St. - Euclid Ave.,0,145.3846153846154,30,s,26.0,9
30_AC Transit_67_AM_d1_s177,Skyline High - Montera Middle School,0,31.5,30,s,120.0,9
30_AC Transit_68_AM_d0_s186,Holy Names,0,15.75,30,s,240.0,9
30_AC Transit_69_AM_d1_s187,Skyline High - 90th. & International Blvd,0,15.75,30,s,240.0,9
30_AC Transit_6_AM_d0_s14,San Pablo & Monroe - Moraga & Mountain,0,252.0,30,s,15.0,9
30_AC Transit_6_AM_d1_s15,San Pablo & Monroe - Moraga & Mountain,0,290.7692307692308,30,s,13.0,9
30_AC Transit_70_AM_d1_s190,Montera J.H.S. - Skyline High School,0,15.75,30,s,240.0,9
30_AC Transit_71_AM_d0_s193,Fruitvale Bart - Skyline High,0,47.25,30,s,80.0,9
30_AC Transit_72_AM_d0_s196,Fruitvale Bart - Montera Middle School,0,15.75,30,s,240.0,9
30_AC Transit_73_AM_d1_s199,Oakland Tech. High - Coliseum Bart,0,31.5,30,s,120.0,9
30_AC Transit_74_AM_d1_s205,East Oakland - Skyline,0,31.5,30,s,120.0,9
30_AC Transit_75_AM_d0_s209,Montera Jr. High School,0,15.75,30,s,240.0,9
30_AC Transit_76_AM_d0_s213,Skyline High School,0,15.75,30,s,240.0,9
30_AC Transit_77_AM_d0_s215,Ferry Term. - Island High - Broadway Blanding,0,15.75,30,s,240.0,9
30_AC Transit_78_AM_d0_s218,N.Richmond - Rich. BART - El Cerrito,0,15.75,30,s,240.0,9
30_AC Transit_79_AM_d0_s221,21st & Macdonald Ave. - El Cerrito,0,15.75,30,s,240.0,9
30_AC Transit_7_AM_d0_s17,Univ/Calif - BYBA,0,315.0,30,s,12.0,9
